,Company,TypeName,Inches,Ram,Memory,OpSys,Price_euros
143,Asus,1,1,3,6,1,419.0
144,Asus,3,4,1,5,1,1168.0
145,Asus,2,2,1,4,1,1135.0
146,Asus,4,5,6,3,1,639.01
147,Asus,3,4,7,12,1,2799.0
148,Asus,2,2,2,12,1,1900.0
149,Asus,1,1,1,3,1,399.0
150,Asus,1,1,1,3,1,906.62
151,Asus,3,1,1,3,2,1169.0
152,Asus,1,1,3,1,3,224.0
153,Asus,4,1,1,3,1,739.0
154,Asus,1,4,3,3,1,466.0
155,Asus,1,1,5,5,1,1299.0
156,Asus,2,1,1,4,1,977.0
157,Asus,3,4,1,3,1,1187.0
158,Asus,2,1,2,12,1,1468.0
159,Asus,1,2,3,6,1,509.0
160,Asus,3,4,2,7,1,2122.0
161,Asus,3,1,1,5,1,1265.0
162,Asus,4,7,4,10,1,275.0
163,Asus,1,2,1,4,1,1094.0
164,Asus,2,1,1,4,1,1049.9
165,Asus,1,2,1,7,1,1334.0
166,Asus,3,1,1,4,1,999.0
167,Asus,1,1,3,3,3,274.99
168,Asus,4,7,3,10,1,375.0
169,Asus,1,2,1,4,1,945.0
170,Asus,4,1,5,23,1,1099.0
171,Asus,3,1,1,3,1,949.0
172,Asus,3,4,2,7,1,2199.0
173,Asus,1,1,3,1,1,304.0
174,Asus,1,1,1,3,1,749.0
175,Asus,3,4,5,3,3,949.0
176,Asus,3,4,1,7,1,1299.0
177,Asus,3,4,1,7,1,1695.0
178,Asus,1,1,1,3,3,597.0
179,Asus,2,6,2,12,1,1950.0
180,Asus,4,5,1,4,1,928.0
181,Asus,3,4,2,7,1,1529.0
182,Asus,3,4,2,7,1,1591.0
183,Asus,3,4,1,3,1,1039.0
184,Asus,2,5,2,12,1,1748.9
185,Asus,3,1,1,5,1,1655.0
186,Asus,1,2,3,10,1,286.0
187,Asus,2,2,1,12,1,1873.0
188,Asus,1,1,3,4,3,559.0
189,Asus,4,1,5,2,1,839.0
190,Asus,1,1,3,4,1,849.9
191,Asus,3,4,1,7,1,1599.0
192,Asus,5,7,4,10,1,191.9
193,Asus,3,4,2,5,1,2299.0
194,Asus,3,1,2,5,1,1339.0
195,Asus,3,4,1,5,1,1312.49
196,Asus,1,1,3,3,1,435.0
197,Asus,1,2,3,10,1,278.0
198,Asus,1,1,3,1,1,369.0
199,Asus,1,2,3,4,1,769.0
200,Asus,3,1,1,7,1,909.0
201,Asus,3,4,2,8,1,2150.0
202,Asus,3,1,1,3,1,1169.0
203,Asus,3,1,2,7,1,2449.0
204,Asus,1,1,2,5,1,1749.0
205,Asus,3,4,9,13,1,3975.0
206,Asus,3,4,2,7,1,1949.0
207,Asus,1,1,3,3,1,309.0
208,Asus,2,5,1,4,1,1280.0
209,Asus,3,1,2,7,1,1600.0
210,Asus,3,1,2,7,1,2325.0
211,Asus,1,1,3,3,1,339.0
212,Asus,3,4,2,5,1,1900.0
213,Asus,2,5,1,12,1,729.0
214,Asus,1,1,3,1,1,720.32
215,Asus,1,1,3,1,1,369.0
216,Asus,2,5,1,12,1,729.0
217,Asus,1,1,3,1,1,720.32
218,Asus,1,1,3,1,1,369.0
219,Asus,2,5,1,12,1,729.0
220,Asus,1,1,3,1,1,720.32
221,Asus,2,2,2,12,1,1495.0
222,Asus,1,1,3,3,2,579.0
223,Asus,3,4,2,3,2,998.0
224,Asus,3,1,2,7,1,1799.0
225,Asus,2,5,1,4,1,1129.0
226,Asus,1,1,1,3,3,522.99
227,Asus,1,4,3,3,1,470.34
228,Asus,3,4,2,7,1,1549.0
229,Asus,1,1,3,3,3,389.0
230,Asus,1,1,1,6,1,581.9
231,Asus,3,4,2,7,1,2350.0
232,Asus,3,1,1,5,1,1339.0
233,Asus,1,2,3,10,1,299.0
234,Asus,1,1,1,4,1,1099.0
235,Asus,4,5,1,4,1,1358.0
236,Asus,1,1,3,3,3,519.0
237,Asus,3,4,2,7,1,2419.0
238,Asus,1,1,1,33,1,590.0
239,Asus,5,7,3,15,5,287.9
240,Asus,3,4,2,8,1,1799.0
241,Asus,3,1,2,5,1,1899.0
242,Asus,1,1,1,4,1,787.0
243,Asus,1,1,3,3,1,449.0
244,Asus,1,1,3,3,3,398.99
245,Asus,1,15,3,10,1,348.0
246,Asus,3,4,5,5,1,1369.9
247,Asus,3,4,7,21,1,1279.0
248,Asus,1,2,4,10,1,199.0
249,Asus,1,4,3,3,1,530.0
250,Asus,4,6,1,17,5,1159.0
251,Asus,3,4,2,7,1,2049.9
252,Asus,4,1,2,23,1,1799.0
253,Asus,3,4,2,7,1,1749.0
254,Asus,1,5,1,4,1,1150.0
255,Asus,2,5,1,12,1,1026.0
256,Asus,4,5,1,39,1,1499.0
257,Asus,1,1,3,1,1,369.0
258,Asus,1,1,3,5,1,575.0
259,Asus,3,4,7,8,1,3890.0
260,Asus,1,4,1,19,1,891.0
261,Asus,1,2,3,18,6,277.99
262,Asus,3,4,2,4,1,2999.0
263,Asus,1,1,6,4,1,577.0
264,Asus,3,1,2,5,1,1449.0
265,Asus,1,1,3,3,1,398.99
266,Asus,1,4,1,5,1,1145.0
267,Asus,2,2,1,4,1,1193.0
268,Asus,3,1,1,3,1,699.0
269,Asus,1,1,1,4,1,769.0
270,Asus,1,1,1,4,1,1118.0
271,Asus,1,4,3,3,1,564.0
272,Asus,3,4,2,7,1,1407.0
273,Asus,1,4,1,5,2,889.0
274,Asus,4,5,1,4,1,1315.0
275,Asus,1,1,3,3,1,403.0
276,Asus,1,1,3,3,1,469.0
277,Asus,3,4,1,5,1,938.0
278,Asus,3,4,2,7,1,1799.0
279,Asus,2,2,1,4,1,1049.0
280,Asus,2,2,1,4,1,1099.0
281,Asus,1,1,3,3,1,344.0
282,Chuwi,1,1,3,17,1,244.99
283,Chuwi,1,8,6,17,1,449.0
284,Chuwi,1,1,3,17,1,248.9
285,Dell,1,2,1,4,1,1126.71
286,Dell,3,4,7,9,1,3659.4
287,Dell,1,5,3,1,1,849.0
288,Dell,1,1,1,5,1,719.0
289,Dell,4,5,3,3,1,649.0
290,Dell,1,1,2,12,1,2397.0
291,Dell,2,6,2,4,1,1859.0
292,Dell,4,4,5,3,1,999.0
293,Dell,1,1,1,3,3,589.52
294,Dell,1,1,5,3,1,649.0
295,Dell,4,5,1,3,1,659.0
296,Dell,1,1,1,5,1,1207.0
297,Dell,1,1,1,4,1,665.0
298,Dell,1,4,1,5,1,1085.0
299,Dell,3,1,2,7,1,2868.99
300,Dell,1,1,3,4,1,639.0
301,Dell,3,4,7,9,1,3588.8
302,Dell,3,1,1,3,1,1099.0
303,Dell,3,1,2,5,1,1099.0
304,Dell,1,1,1,6,1,945.0
305,Dell,1,4,1,3,3,865.0
306,Dell,1,1,3,4,1,739.0
307,Dell,1,1,1,6,1,713.99
308,Dell,3,4,7,8,1,3072.89
309,Dell,3,1,2,7,1,2774.63
310,Dell,1,1,1,3,1,459.0
311,Dell,1,4,1,5,1,979.0
312,Dell,1,2,3,1,1,585.0
313,Dell,1,2,3,1,1,755.0
314,Dell,3,4,2,5,1,2505.02
315,Dell,1,1,1,4,1,789.81
316,Dell,1,1,1,3,1,961.0
317,Dell,3,1,2,12,1,1679.0
318,Dell,5,7,3,6,1,744.0
319,Dell,1,1,1,4,1,1749.0
320,Dell,2,5,1,4,1,1499.0
321,Dell,1,1,1,4,1,739.0
322,Dell,1,1,1,6,1,810.0
323,Dell,3,1,1,4,1,985.0
324,Dell,1,1,2,22,3,1049.0
325,Dell,2,5,1,4,1,1399.0
326,Dell,1,1,1,4,1,1179.0
